cancer,track,eval_mode,ensemble_method,row_count,spearman,pearson,rmse,mae,r2,ndcg_at_30,available_modality_count_mean,used_modalities,missing_modalities,strict_leakage_violation
crc,2A_numeric,scaffoldcv,robust_weighted,9692,0.2313534273840663,0.2453487274165736,2.6393452171961163,2.045895084476883,0.059948206765853884,0.04026679578759459,3.0,DL|Graph|ML,,False
crc,2A_numeric,unseen_drug,simple_mean,1861,0.24553706065131764,0.26024699187084993,2.753091235910633,2.157393130658661,0.0655477512551399,0.3351357972510373,3.0,DL|Graph|ML,,False
crc,2A_numeric,unseen_drug,rank_mean,1861,0.24522392232690052,0.24766316560002238,3.6762143030132877,3.2186146591941074,-0.6661632322189528,0.19696815125645997,3.0,DL|Graph|ML,,False
crc,2A_numeric,unseen_drug,robust_weighted,1861,0.24563202619096516,0.2602764690610261,2.7527936423929154,2.1583531343621667,0.06574975829247132,0.22359785075763913,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,cv,simple_mean,9692,0.789599488167837,0.8533167235998718,1.4292081250632498,1.075116180922928,0.7243548604738705,0.8526848495010572,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,cv,rank_mean,9692,0.7903214984794513,0.7823753722682287,3.629387556516825,3.177345665069764,-0.7775674035465905,0.8329249226578723,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,cv,robust_weighted,9692,0.790584139110602,0.854058503582786,1.4296982716525877,1.0770477264107188,0.7241657631828433,0.8565437493178852,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,groupcv,simple_mean,9692,0.4554976950022342,0.5167817869774161,2.3414495452637665,1.8091024765000168,0.2601750157483995,0.11345333818444499,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,groupcv,rank_mean,9692,0.4651943927680857,0.48300246929524854,3.697957222928467,3.220155638252843,-0.8453687080469323,0.09954025596848289,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,groupcv,robust_weighted,9692,0.46219667599520997,0.5235033318619347,2.3264510369620113,1.7977256867957627,0.26962278007970575,0.12584149346853277,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,holdout,simple_mean,1939,0.7741180973657846,0.8507477142079148,1.4317977952953642,1.0706300637832988,0.7196528073076087,0.9635924053475713,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,holdout,rank_mean,1939,0.7729027857090374,0.7653695944220247,3.628479567130883,3.1934375703661364,-0.800454690133058,0.963278799129266,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,holdout,robust_weighted,1939,0.7740401853934736,0.8510299025370305,1.4333137544820134,1.0726031224206378,0.7190588409085699,0.9636051155387433,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,scaffoldcv,simple_mean,9692,0.3924817344071714,0.4349001565823096,2.4840125835850504,1.8923270050998167,0.1673414055562169,0.15522184616180196,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,scaffoldcv,rank_mean,9692,0.40001341859045997,0.4290515996191599,3.716288530745877,3.2333463856855,-0.8637095730020368,0.1227359129459399,3.0,DL|Graph|ML,,False
