modality,cancer,track,model,eval_mode,overfit_spearman_gap,overfit_fold_std,overfit_level,combo_dir
ML,brca,2C_numeric_smiles_context,CatBoost,groupcv,0.28651524553942587,0.06521598496648276,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/CatBoost/groupcv
ML,brca,2C_numeric_smiles_context,CatBoost,unseen_drug,0.35158039439994554,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/CatBoost/unseen_drug
ML,brca,2B_numeric_smiles,XGBoost,scaffoldcv,0.46583236986695303,0.13419967836702398,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/scaffoldcv
ML,brca,2B_numeric_smiles,XGBoost,groupcv,0.3925274589633739,0.05134860291818427,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/groupcv
ML,brca,2B_numeric_smiles,XGBoost,unseen_drug,0.39314854439183367,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/unseen_drug
ML,brca,2B_numeric_smiles,RandomForest,scaffoldcv,0.5605222253020342,0.09635453897744758,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/RandomForest/scaffoldcv
ML,brca,2B_numeric_smiles,RandomForest,groupcv,0.4664280999915449,0.06205230196178684,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/RandomForest/groupcv
ML,brca,2B_numeric_smiles,RandomForest,unseen_drug,0.5041847678636724,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/RandomForest/unseen_drug
ML,brca,2B_numeric_smiles,ExtraTrees,scaffoldcv,0.5816076381147376,0.018355431531423213,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/ExtraTrees/scaffoldcv
ML,brca,2B_numeric_smiles,ExtraTrees,groupcv,0.5852738280479743,0.061386767096757,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/ExtraTrees/groupcv
ML,brca,2B_numeric_smiles,ExtraTrees,unseen_drug,0.5329231200502413,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/ExtraTrees/unseen_drug
ML,brca,2B_numeric_smiles,LightGBM,scaffoldcv,0.45236104235452873,0.05207740254995331,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/LightGBM/scaffoldcv
ML,brca,2B_numeric_smiles,LightGBM,groupcv,0.38601662235229584,0.054858136787450565,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/LightGBM/groupcv
ML,brca,2B_numeric_smiles,LightGBM,unseen_drug,0.3820829626434751,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/LightGBM/unseen_drug
ML,brca,2B_numeric_smiles,CatBoost,scaffoldcv,0.3604859016464624,0.06835124270952075,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/CatBoost/scaffoldcv
ML,brca,2B_numeric_smiles,CatBoost,groupcv,0.3215234571627453,0.06442077645524401,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/CatBoost/groupcv
ML,brca,2B_numeric_smiles,CatBoost,unseen_drug,0.3579524899065069,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/CatBoost/unseen_drug
